Nomor,Permasalahan Wajib Pajak
1,Kesulitan memahami aturan perpajakan terbaru (kasus 1)
2,Tidak mengetahui cara menghitung PPh (kasus 2)
3,Bingung membedakan objek pajak (kasus 3)
4,Tidak mengetahui cara lapor SPT (kasus 4)
5,Tidak paham kewajiban UMKM (kasus 5)
6,Tidak memahami tarif PPh final UMKM (kasus 6)
7,Tidak tahu biaya dapat dikurangkan (kasus 7)
8,Tidak mengikuti perubahan ketentuan pajak (kasus 8)
9,Salah isi formulir SPT (kasus 9)
10,Tidak tahu konsekuensi keterlambatan lapor (kasus 10)
11,Tidak paham perhitungan pajak karyawan (kasus 11)
12,Bingung pajak transaksi online (kasus 12)
13,Tidak paham pajak pribadi vs badan (kasus 13)
14,Tidak mengerti kredit pajak (kasus 14)
15,Minim pengetahuan PPN pemula (kasus 15)
16,Tidak tahu prosedur registrasi NPWP (kasus 16)
17,Tidak tahu aktivasi EFIN (kasus 17)
18,Bingung update data WP (kasus 18)
19,Kesulitan memahami istilah pajak (kasus 19)
20,Pajak penghasilan sampingan bingung (kasus 20)
21,Tidak tahu PKP/Non-PKP (kasus 21)
22,Tidak tahu syarat PKP (kasus 22)
23,Tidak tahu tata cara pembayaran (kasus 23)
24,Tidak tahu deadline pembayaran (kasus 24)
25,Tidak paham bukti potong (kasus 25)
26,Tidak tahu fungsi kode billing (kasus 26)
27,Kesulitan penyetoran pajak online (kasus 27)
28,Pajak sewa aset bingung (kasus 28)
29,Ketentuan pajak influencer tidak paham (kasus 29)
30,Menghitung PPh pasal 21 mandiri sulit (kasus 30)
31,Pajak badan tidak dipahami (kasus 31)
32,Tidak tahu pembetulan SPT (kasus 32)
33,Pajak kendaraan usaha bingung (kasus 33)
34,Myriad data fact upload error (kasus 34)
35,Pajak atas penjualan aset bingung (kasus 35)
36,Kurang memahami e-faktur (kasus 36)
37,Dalam menerbitkan faktur kesulitan (kasus 37)
38,Tidak tahu retur faktur (kasus 38)
39,Kesulitan lapor SPT nihil (kasus 39)
40,Pembetulan SPT bingung prosedurnya (kasus 40)
41,Minim literasi insentif pajak (kasus 41)
42,Tidak tahu manfaat patuh pajak (kasus 42)
43,Konsekuensi pemeriksaan tidak dipahami (kasus 43)
44,CSV gagal upload (kasus 44)
45,Tidak tahu pajak hibah (kasus 45)
46,Luar negeri income bingung pajaknya (kasus 46)
47,Withholding tax tidak dimengerti (kasus 47)
48,PPN digital belum dipahami (kasus 48)
49,Ketentuan pajak kripto tidak tahu (kasus 49)
50,Pajak e-commerce tidak dipahami (kasus 50)
51,Zakat pengurang pajak bingung (kasus 51)
52,Ketentuan keberatan pajak sulit (kasus 52)
53,SKPKB tidak dipahami (kasus 53)
54,Fungsi SSP/SSPCP tidak paham (kasus 54)
55,UMKM pajak rumahan tidak paham (kasus 55)
56,Pelaporan harta bingung (kasus 56)
57,Pajak warisan tidak paham (kasus 57)
58,Pajak royalti bingung (kasus 58)
59,Freelance pajak tidak tahu (kasus 59)
60,Minim pemahaman pajak meski punya NPWP (kasus 60)
61,Kesulitan memahami aturan perpajakan terbaru (kasus 61)
62,Tidak mengetahui cara menghitung PPh (kasus 62)
63,Bingung membedakan objek pajak (kasus 63)
64,Tidak mengetahui cara lapor SPT (kasus 64)
65,Tidak paham kewajiban UMKM (kasus 65)
66,Tidak memahami tarif PPh final UMKM (kasus 66)
67,Tidak tahu biaya dapat dikurangkan (kasus 67)
68,Tidak mengikuti perubahan ketentuan pajak (kasus 68)
69,Salah isi formulir SPT (kasus 69)
70,Tidak tahu konsekuensi keterlambatan lapor (kasus 70)
71,Tidak paham perhitungan pajak karyawan (kasus 71)
72,Bingung pajak transaksi online (kasus 72)
73,Tidak paham pajak pribadi vs badan (kasus 73)
74,Tidak mengerti kredit pajak (kasus 74)
75,Minim pengetahuan PPN pemula (kasus 75)
76,Tidak tahu prosedur registrasi NPWP (kasus 76)
77,Tidak tahu aktivasi EFIN (kasus 77)
78,Bingung update data WP (kasus 78)
79,Kesulitan memahami istilah pajak (kasus 79)
80,Pajak penghasilan sampingan bingung (kasus 80)
81,Tidak tahu PKP/Non-PKP (kasus 81)
82,Tidak tahu syarat PKP (kasus 82)
83,Tidak tahu tata cara pembayaran (kasus 83)
84,Tidak tahu deadline pembayaran (kasus 84)
85,Tidak paham bukti potong (kasus 85)
86,Tidak tahu fungsi kode billing (kasus 86)
87,Kesulitan penyetoran pajak online (kasus 87)
88,Pajak sewa aset bingung (kasus 88)
89,Ketentuan pajak influencer tidak paham (kasus 89)
90,Menghitung PPh pasal 21 mandiri sulit (kasus 90)
91,Pajak badan tidak dipahami (kasus 91)
92,Tidak tahu pembetulan SPT (kasus 92)
93,Pajak kendaraan usaha bingung (kasus 93)
94,Myriad data fact upload error (kasus 94)
95,Pajak atas penjualan aset bingung (kasus 95)
96,Kurang memahami e-faktur (kasus 96)
97,Dalam menerbitkan faktur kesulitan (kasus 97)
98,Tidak tahu retur faktur (kasus 98)
99,Kesulitan lapor SPT nihil (kasus 99)
100,Pembetulan SPT bingung prosedurnya (kasus 100)
101,Minim literasi insentif pajak (kasus 101)
102,Tidak tahu manfaat patuh pajak (kasus 102)
103,Konsekuensi pemeriksaan tidak dipahami (kasus 103)
104,CSV gagal upload (kasus 104)
105,Tidak tahu pajak hibah (kasus 105)
106,Luar negeri income bingung pajaknya (kasus 106)
107,Withholding tax tidak dimengerti (kasus 107)
108,PPN digital belum dipahami (kasus 108)
109,Ketentuan pajak kripto tidak tahu (kasus 109)
110,Pajak e-commerce tidak dipahami (kasus 110)
111,Zakat pengurang pajak bingung (kasus 111)
112,Ketentuan keberatan pajak sulit (kasus 112)
113,SKPKB tidak dipahami (kasus 113)
114,Fungsi SSP/SSPCP tidak paham (kasus 114)
115,UMKM pajak rumahan tidak paham (kasus 115)
116,Pelaporan harta bingung (kasus 116)
117,Pajak warisan tidak paham (kasus 117)
118,Pajak royalti bingung (kasus 118)
119,Freelance pajak tidak tahu (kasus 119)
120,Minim pemahaman pajak meski punya NPWP (kasus 120)
121,Kesulitan memahami aturan perpajakan terbaru (kasus 121)
122,Tidak mengetahui cara menghitung PPh (kasus 122)
123,Bingung membedakan objek pajak (kasus 123)
124,Tidak mengetahui cara lapor SPT (kasus 124)
125,Tidak paham kewajiban UMKM (kasus 125)
126,Tidak memahami tarif PPh final UMKM (kasus 126)
127,Tidak tahu biaya dapat dikurangkan (kasus 127)
128,Tidak mengikuti perubahan ketentuan pajak (kasus 128)
129,Salah isi formulir SPT (kasus 129)
130,Tidak tahu konsekuensi keterlambatan lapor (kasus 130)
131,Tidak paham perhitungan pajak karyawan (kasus 131)
132,Bingung pajak transaksi online (kasus 132)
133,Tidak paham pajak pribadi vs badan (kasus 133)
134,Tidak mengerti kredit pajak (kasus 134)
135,Minim pengetahuan PPN pemula (kasus 135)
136,Tidak tahu prosedur registrasi NPWP (kasus 136)
137,Tidak tahu aktivasi EFIN (kasus 137)
138,Bingung update data WP (kasus 138)
139,Kesulitan memahami istilah pajak (kasus 139)
140,Pajak penghasilan sampingan bingung (kasus 140)
141,Tidak tahu PKP/Non-PKP (kasus 141)
142,Tidak tahu syarat PKP (kasus 142)
143,Tidak tahu tata cara pembayaran (kasus 143)
144,Tidak tahu deadline pembayaran (kasus 144)
145,Tidak paham bukti potong (kasus 145)
146,Tidak tahu fungsi kode billing (kasus 146)
147,Kesulitan penyetoran pajak online (kasus 147)
148,Pajak sewa aset bingung (kasus 148)
149,Ketentuan pajak influencer tidak paham (kasus 149)
150,Menghitung PPh pasal 21 mandiri sulit (kasus 150)
151,Pajak badan tidak dipahami (kasus 151)
152,Tidak tahu pembetulan SPT (kasus 152)
153,Pajak kendaraan usaha bingung (kasus 153)
154,Myriad data fact upload error (kasus 154)
155,Pajak atas penjualan aset bingung (kasus 155)
156,Kurang memahami e-faktur (kasus 156)
157,Dalam menerbitkan faktur kesulitan (kasus 157)
158,Tidak tahu retur faktur (kasus 158)
159,Kesulitan lapor SPT nihil (kasus 159)
160,Pembetulan SPT bingung prosedurnya (kasus 160)
161,Minim literasi insentif pajak (kasus 161)
162,Tidak tahu manfaat patuh pajak (kasus 162)
163,Konsekuensi pemeriksaan tidak dipahami (kasus 163)
164,CSV gagal upload (kasus 164)
165,Tidak tahu pajak hibah (kasus 165)
166,Luar negeri income bingung pajaknya (kasus 166)
167,Withholding tax tidak dimengerti (kasus 167)
168,PPN digital belum dipahami (kasus 168)
169,Ketentuan pajak kripto tidak tahu (kasus 169)
170,Pajak e-commerce tidak dipahami (kasus 170)
171,Zakat pengurang pajak bingung (kasus 171)
172,Ketentuan keberatan pajak sulit (kasus 172)
173,SKPKB tidak dipahami (kasus 173)
174,Fungsi SSP/SSPCP tidak paham (kasus 174)
175,UMKM pajak rumahan tidak paham (kasus 175)
176,Pelaporan harta bingung (kasus 176)
177,Pajak warisan tidak paham (kasus 177)
178,Pajak royalti bingung (kasus 178)
179,Freelance pajak tidak tahu (kasus 179)
180,Minim pemahaman pajak meski punya NPWP (kasus 180)
181,Kesulitan memahami aturan perpajakan terbaru (kasus 181)
182,Tidak mengetahui cara menghitung PPh (kasus 182)
183,Bingung membedakan objek pajak (kasus 183)
184,Tidak mengetahui cara lapor SPT (kasus 184)
185,Tidak paham kewajiban UMKM (kasus 185)
186,Tidak memahami tarif PPh final UMKM (kasus 186)
187,Tidak tahu biaya dapat dikurangkan (kasus 187)
188,Tidak mengikuti perubahan ketentuan pajak (kasus 188)
189,Salah isi formulir SPT (kasus 189)
190,Tidak tahu konsekuensi keterlambatan lapor (kasus 190)
191,Tidak paham perhitungan pajak karyawan (kasus 191)
192,Bingung pajak transaksi online (kasus 192)
193,Tidak paham pajak pribadi vs badan (kasus 193)
194,Tidak mengerti kredit pajak (kasus 194)
195,Minim pengetahuan PPN pemula (kasus 195)
196,Tidak tahu prosedur registrasi NPWP (kasus 196)
197,Tidak tahu aktivasi EFIN (kasus 197)
198,Bingung update data WP (kasus 198)
199,Kesulitan memahami istilah pajak (kasus 199)
200,Pajak penghasilan sampingan bingung (kasus 200)
201,Tidak tahu PKP/Non-PKP (kasus 201)
202,Tidak tahu syarat PKP (kasus 202)
203,Tidak tahu tata cara pembayaran (kasus 203)
204,Tidak tahu deadline pembayaran (kasus 204)
205,Tidak paham bukti potong (kasus 205)
206,Tidak tahu fungsi kode billing (kasus 206)
207,Kesulitan penyetoran pajak online (kasus 207)
208,Pajak sewa aset bingung (kasus 208)
209,Ketentuan pajak influencer tidak paham (kasus 209)
210,Menghitung PPh pasal 21 mandiri sulit (kasus 210)
211,Pajak badan tidak dipahami (kasus 211)
212,Tidak tahu pembetulan SPT (kasus 212)
213,Pajak kendaraan usaha bingung (kasus 213)
214,Myriad data fact upload error (kasus 214)
215,Pajak atas penjualan aset bingung (kasus 215)
216,Kurang memahami e-faktur (kasus 216)
217,Dalam menerbitkan faktur kesulitan (kasus 217)
218,Tidak tahu retur faktur (kasus 218)
219,Kesulitan lapor SPT nihil (kasus 219)
220,Pembetulan SPT bingung prosedurnya (kasus 220)
221,Minim literasi insentif pajak (kasus 221)
222,Tidak tahu manfaat patuh pajak (kasus 222)
223,Konsekuensi pemeriksaan tidak dipahami (kasus 223)
224,CSV gagal upload (kasus 224)
225,Tidak tahu pajak hibah (kasus 225)
226,Luar negeri income bingung pajaknya (kasus 226)
227,Withholding tax tidak dimengerti (kasus 227)
228,PPN digital belum dipahami (kasus 228)
229,Ketentuan pajak kripto tidak tahu (kasus 229)
230,Pajak e-commerce tidak dipahami (kasus 230)
231,Zakat pengurang pajak bingung (kasus 231)
232,Ketentuan keberatan pajak sulit (kasus 232)
233,SKPKB tidak dipahami (kasus 233)
234,Fungsi SSP/SSPCP tidak paham (kasus 234)
235,UMKM pajak rumahan tidak paham (kasus 235)
236,Pelaporan harta bingung (kasus 236)
237,Pajak warisan tidak paham (kasus 237)
238,Pajak royalti bingung (kasus 238)
239,Freelance pajak tidak tahu (kasus 239)
240,Minim pemahaman pajak meski punya NPWP (kasus 240)
241,Kesulitan memahami aturan perpajakan terbaru (kasus 241)
242,Tidak mengetahui cara menghitung PPh (kasus 242)
243,Bingung membedakan objek pajak (kasus 243)
244,Tidak mengetahui cara lapor SPT (kasus 244)
245,Tidak paham kewajiban UMKM (kasus 245)
246,Tidak memahami tarif PPh final UMKM (kasus 246)
247,Tidak tahu biaya dapat dikurangkan (kasus 247)
248,Tidak mengikuti perubahan ketentuan pajak (kasus 248)
249,Salah isi formulir SPT (kasus 249)
250,Tidak tahu konsekuensi keterlambatan lapor (kasus 250)
